cnpj,razao_social,trt_esperado,numero_processo_conhecido,fonte_da_verdade
43268332000164,R R C TRANSPORTES LTDA,trt20,,receita
15066244000144,JOSAFA ALVES DOS SANTOS FERRAGENS LTDA,trt20,,receita
